uid,total_act_mins,variant_number
0,43.0,0
1,15205.0,0
2,17.0,0
3,77.0,0
4,39.0,0
5,174.0,0
6,26.0,0
7,21.0,0
9,42.0,0
10,127.0,0
11,142.0,0
13,17.0,0
14,3.0,0
15,35.0,0
16,56.0,0
17,5462.0,0
18,2.0,0
19,551.0,0
20,77.0,0
21,11.0,0
22,19.0,0
23,58.0,0
24,130.0,0
25,359.0,0
26,10.0,0
27,13.0,0
28,270.0,0
29,3787.0,0
30,771.0,0
31,42.0,0
32,36.0,0
33,96.0,0
34,72.0,0
36,317.0,0
37,23.0,0
38,1099.0,0
39,164.0,0
40,8.0,0
41,97.0,0
42,1.0,0
43,28.0,0
44,67.0,0
45,3.0,0
46,42.0,0
47,10.0,0
48,21.0,0
49,13.0,0
50,123.0,0
51,40.0,0
52,1081.0,0
53,35.0,0
54,20.0,0
55,2.0,0
56,68.0,0
57,22.0,0
58,607.0,0
59,14.0,0
60,65.0,0
61,3.0,0
62,193.0,0
63,37.0,0
64,20.0,0
65,248.0,0
66,13.0,0
67,24.0,0
68,2.0,0
69,3117.0,0
70,29.0,0
71,111.0,0
72,38.0,0
73,1413.0,0
74,31.0,0
75,188.0,0
76,30.0,0
77,34.0,0
79,2.0,0
80,30.0,0
81,91.0,0
82,26.0,0
83,21.0,0
84,1385.0,0
85,16.0,0
86,207.0,0
87,47.0,0
88,160.0,0
89,345.0,0
90,20.0,0
91,45.0,0
92,119.0,0
93,54.0,0
95,3.0,0
96,50.0,0
97,18.0,0
99,453.0,0
100,33.0,0
101,1222.0,0
102,20.0,0
103,512.0,0
105,34.0,0
106,216.0,0
107,46.0,0
108,6.0,0
109,186.0,0
110,33.0,0
112,447.0,0
113,1.0,0
114,13.0,0
115,3.0,0
116,173.0,0
117,48.0,0
118,20.0,0
119,140.0,0
120,290.0,0
121,87.0,0
122,203.0,0
123,11645.0,0
124,59.0,0
125,6.0,0
127,38.0,0
128,6.0,0
129,14.0,0
130,14.0,0
131,2.0,0
132,86.0,0
133,11.0,0
134,102.0,0
136,12.0,0
137,3.0,0
138,3.0,0
139,51.0,0
140,31.0,0
141,82.0,0
142,307.0,0
143,42.0,0
144,4831.0,0
145,29.0,0
146,1991.0,0
147,9.0,0
148,22.0,0
149,1578.0,0
150,927.0,0
151,3139.0,0
152,194.0,0
154,80.0,0
156,540.0,0
157,44.0,0
158,12.0,0
159,13.0,0
160,5.0,0
161,4.0,0
162,88.0,0
163,159.0,0
164,171.0,0
165,6.0,0
166,8.0,0
167,17.0,0
170,15.0,0
171,4.0,0
172,15.0,0
173,24.0,0
174,2220.0,0
175,102.0,0
176,61.0,0
177,30.0,0
178,64.0,0
179,48.0,0
180,638.0,0
181,4.0,0
