uid,total_act_mins_post,variant_number,total_act_mins_pre,gender,user_type
0,43.0,0,70.0,male,non_reader
1,15205.0,0,18313.0,male,reader
2,17.0,0,37.0,male,non_reader
3,77.0,0,108.0,male,non_reader
4,39.0,0,66.0,male,non_reader
5,174.0,0,21.0,female,non_reader
6,26.0,0,12.0,female,non_reader
7,21.0,0,34.0,male,non_reader
9,42.0,0,52.0,female,non_reader
10,127.0,0,74.0,male,non_reader
11,142.0,0,96.0,female,non_reader
13,17.0,0,29.0,male,non_reader
14,3.0,0,15.0,male,non_reader
15,35.0,0,1523.0,male,reader
16,56.0,0,9.0,female,non_reader
17,5462.0,0,717.0,female,reader
18,2.0,0,33.0,male,non_reader
19,551.0,0,228.0,female,reader
20,77.0,0,127.0,male,non_reader
21,11.0,0,25.0,male,non_reader
22,19.0,0,10.0,male,new_user
23,58.0,0,61.0,female,non_reader
24,130.0,0,31.0,female,non_reader
25,359.0,0,205.0,male,reader
26,10.0,0,17.0,female,non_reader
27,13.0,0,73.0,unknown,non_reader
28,270.0,0,265.0,unknown,contributor
29,3787.0,0,3932.0,male,reader
30,771.0,0,726.0,male,contributor
31,42.0,0,74.0,female,non_reader
32,36.0,0,68.0,male,non_reader
33,96.0,0,25.0,unknown,non_reader
34,72.0,0,79.0,male,non_reader
36,317.0,0,264.0,female,reader
37,23.0,0,29.0,female,non_reader
38,1099.0,0,690.0,male,reader
39,164.0,0,1063.0,male,reader
40,8.0,0,5.0,female,non_reader
41,97.0,0,112.0,male,non_reader
42,1.0,0,8.0,female,new_user
43,28.0,0,22.0,female,non_reader
44,67.0,0,81.0,unknown,non_reader
45,3.0,0,31.0,male,non_reader
46,42.0,0,35.0,male,non_reader
47,10.0,0,9.0,male,non_reader
48,21.0,0,101.0,unknown,non_reader
49,13.0,0,4.0,male,non_reader
50,123.0,0,477.0,male,reader
51,40.0,0,120.0,male,non_reader
52,1081.0,0,1733.0,unknown,contributor
53,35.0,0,17.0,male,non_reader
54,20.0,0,27.0,female,non_reader
55,2.0,0,16.0,unknown,non_reader
56,68.0,0,52.0,male,non_reader
57,22.0,0,31.0,unknown,non_reader
58,607.0,0,401.0,male,reader
59,14.0,0,50.0,male,non_reader
60,65.0,0,340.0,male,non_reader
61,3.0,0,28.0,male,non_reader
62,193.0,0,270.0,male,contributor
63,37.0,0,30.0,female,non_reader
64,20.0,0,10.0,male,non_reader
65,248.0,0,508.0,unknown,reader
66,13.0,0,7.0,unknown,non_reader
67,24.0,0,114.0,unknown,non_reader
68,2.0,0,6.0,female,non_reader
69,3117.0,0,3937.0,male,reader
70,29.0,0,22.0,male,non_reader
71,111.0,0,76.0,male,non_reader
72,38.0,0,23.0,male,non_reader
73,1413.0,0,2234.0,male,reader
74,31.0,0,54.0,male,non_reader
75,188.0,0,88.0,male,non_reader
76,30.0,0,14.0,male,non_reader
77,34.0,0,14.0,female,non_reader
79,2.0,0,11.0,unknown,non_reader
80,30.0,0,366.0,male,reader
81,91.0,0,3.0,unknown,new_user
82,26.0,0,18.0,unknown,non_reader
83,21.0,0,24.0,unknown,non_reader
84,1385.0,0,463.0,female,reader
85,16.0,0,4.0,unknown,new_user
86,207.0,0,412.0,unknown,non_reader
